Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Pubmed IDs	CCDS IDs	UniProt ID(supplied by UniProt)
AAR2	AAR2 splicing factor homolog	C20orf4	bA234K24.2			CCDS13273	Q9Y312
AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	"Alanine and arginine-rich domain-containing protein"		CCDS34935	Q4LEZ3
AARS	alanyl-tRNA synthetase		CMT2N	"alanine tRNA ligase 1, cytoplasmic"	8595897	CCDS32474	P49588
AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270, bA444E17.1	"alanine tRNA ligase 2, mitochondrial"	15779907, 21549344	CCDS34464	Q5JTZ9
AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744			CCDS11447, CCDS45691, CCDS58552	Q9BTE6
AARSP1	alanyl-tRNA synthetase pseudogene 1						
AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998, LYS2, ACSF4	"acyl-CoA synthetase family member 4"	15865210, 12712191, 17762044	CCDS3504, CCDS68705, CCDS68706, CCDS75126, CCDS75127	Q4L235
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5, CGI-80, AASD-PPT		12815048, 11286508	CCDS31664	Q9NRN7
AASS	aminoadipate-semialdehyde synthase		LORSDH, LKRSDH		10775527	CCDS5783	Q9UDR5
AATBC	apoptosis associated transcript in bladder cancer			"apoptosis-associated transcript in bladder cancer"	25473900		
AATF	apoptosis antagonizing transcription factor		DED, CHE-1, CHE1, BFR2		11027528, 10783144	CCDS32632	Q9NY61
AATK	apoptosis-associated tyrosine kinase		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	"lemur tyrosine kinase 1", "protein phosphatase 1, regulatory subunit 77"	9734811, 10083745	CCDS45807, CCDS58607	Q6ZMQ8
AATK-AS1	AATK antisense RNA 1						
AAVS1	adeno-associated virus integration site 1		AAV		1334463		
ABALON	apoptotic BCL2L1-antisense long non-coding RNA		INXS	"apoptotic BCL-X-associated long ncRNA", "intronic BCL-XS-inducing lncRNA"	24992962		
ABAT	4-aminobutyrate aminotransferase		GABAT	"4-aminobutyrate transaminase"	7721088	CCDS10534	P80404
ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	ABC1, HDLDT1	TGD	"Tangier disease"	8088782, 10431236, 10431237, 10431238	CCDS6762	O95477
ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	ABC2			8088782	CCDS43909	Q9BZC7
ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	ABC3	ABC-C, EST111653, LBM180		8706931	CCDS10466	Q99758
ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	"Stargardt disease"	9490294	CCDS747	P78363
ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5		EST90625		8894702	CCDS11685	Q8WWZ7
ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6		EST155051		8894702	CCDS11683	Q8N139
ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7		ABCX			CCDS12055	Q8IZY2
ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8		KIAA0822			CCDS11680, CCDS74138, CCDS74139	O94911
ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9		EST640918			CCDS11681	Q8IUA7
ABCA9-AS1	ABCA9 antisense RNA 1						
ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10		EST698739		12821155, 11435397	CCDS11684	Q8WWZ4
ABCA11P	ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene	ABCA11	EST1133530, FLJ14297				Q4W5N1
ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	ICR2B	DKFZP434G232, LI2		11435397, 12915478, 8845852, 10094194	CCDS33372, CCDS33373	Q86UK0
ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13		FLJ33876, FLJ33951		12697998	CCDS47584	Q86UQ4
ABCA17P	ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene				16968533		
ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	"multidrug resistance protein 1"	3027054	CCDS5608	P08183
ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	PGY3, MDR3	MDR2, PFIC-3, GBD1		2892668, 11313316	CCDS5605, CCDS5606, CCDS5607	P21439
ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5		EST422562, ABCB5beta, ABCB5alpha	"P-glycoprotein ABCB5", "ATP-binding cassette protein"	8894702, 12960149	CCDS5371, CCDS55090, CCDS55091, CCDS55092	Q2M3G0
ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)		EST45597, umat, MTABC3	"ATP-binding cassette half-transporter"	8894702, 9110174	CCDS2436	Q9NP58
ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	ABC7	EST140535, Atm1p, ASAT		9143506	CCDS14428, CCDS65290, CCDS65291, CCDS75994	O75027
ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8		EST328128, M-ABC1, MABC1	"mitochondrial ABC protein"	8894702	CCDS5913, CCDS64798, CCDS64799, CCDS64800	Q9NUT2
ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9		EST122234		8894702	CCDS9241, CCDS58286, CCDS58287, CCDS58288	Q9NP78
ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10		EST20237, M-ABC2, MTABC2	"ATP-binding cassette sub-family B member 10, mitochondrial", "ATP-binding cassette transporter 10", "ABC transporter 10 protein", "mitochondrial ATP-binding cassette 2"	7766993	CCDS1580	Q9NRK6
ABCB10P1	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1	ABCB10P, ABCB10P2	M-ABC2, MABC2		7766993, 10922475		
ABCB10P3	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3						
ABCB10P4	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4						
ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	"ABC member 16, MDR/TAP subfamily"	9806540	CCDS46444	O95342
ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	MRP, MRP1	GS-X		8098549, 1360704	CCDS42122	P33527
ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	CMOAT	DJS, MRP2, cMRP		8797578, 9284939	CCDS7484	Q92887
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	"canalicular multispecific organic anion transporter 2"	8894702, 9827529	CCDS32681, CCDS45739	O15438
ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4		MRP4, EST170205, MOAT-B, MOATB	"canalicular multispecific organic anion transporter (ABC superfamily)", "bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)", "multidrug resistance-associated protein 4", "multispecific organic anion transporter B"	8894702, 9661885	CCDS9474, CCDS45061, CCDS76643	O15439
ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5		MRP5, SMRP, EST277145, MOAT-C		8894702, 9827529	CCDS33898, CCDS43176	O15440
ABCC5-AS1	ABCC5 antisense RNA 1						
ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	ARA, PXE	MRP6, EST349056, MLP1, URG7		9721217, 11439001	CCDS10568, CCDS58430	O95255
ABCC6P1	ATP-binding cassette, sub-family C, member 6 pseudogene 1 (functional)				18405356, 22873774		
ABCC6P2	ATP-binding cassette, sub-family C, member 6 pseudogene 2				22873774		
ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	"sulfonylurea receptor (hyperinsulinemia)"	7920639, 7716548	CCDS31437, CCDS73264	Q09428
ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9		SUR2, CMD1O	"sulfonylurea receptor 2"	9457174, 15034580	CCDS8693, CCDS8694	O60706
ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10		EST182763, MRP7, SIMRP7		8894702	CCDS4896, CCDS56430	Q5T3U5
ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11		MRP8		11483364, 11435397	CCDS10732, CCDS10733	Q96J66
ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12		MRP9		11435397, 11483364	CCDS10730	Q96J65
ABCC13	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene		PRED6, C21orf73		12445816		Q9NSE7
ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	ALD	AMN, ALDP, adrenoleukodystrophy		8441467, 6795626	CCDS14728	P33897
ABCD1P1	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1				8829626, 9215666		
ABCD1P2	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2		bA453N3.6		9215666		
ABCD1P3	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3				9215666		
ABCD1P4	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4				9215666, 10591208		
ABCD1P5	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 5						
ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	ALDL1	ALDR, ALDRP		8577752	CCDS8734	Q9UBJ2
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	PXMP1	PMP70, ZWS2		1301993, 8449508	CCDS749, CCDS44175	P28288
ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	PXMP1L	PMP69, P70R, EST352188		9266848, 9302272	CCDS9828	O14678
ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	RNASEL1, RNASELI, RNS4I	RLI, OABP		7539425	CCDS34071	P61221
ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	ABC50	EST123147		9790762	CCDS34380, CCDS34381	Q8NE71
ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2		EST133090, ABC28, M-ABC1, HUSSY-18		8894702	CCDS5922, CCDS5923	Q9UG63
ABCF2P1	ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 1						
ABCF2P2	ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 2						
ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3		EST201864		8894702	CCDS3254	Q9NUQ8
ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1		ABC8	"ATP-binding cassette transporter 8"	8659545, 16870176	CCDS13681, CCDS13682, CCDS13683, CCDS42937, CCDS42938	P45844
ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)		EST157481, MXR, BCRP, ABCP, CD338		8894702, 9861027	CCDS3628, CCDS58910	Q9UNQ0
ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4		WHITE2	"putative ABC transporter", "ATP-binding cassette, subfamily G, member 4"	11435397	CCDS8415	Q9H172
ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5		STSL	"sterolin 1"	11099417, 11452359	CCDS1814	Q9H222
ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8		GBD4	"gallbladder disease 4", "sterolin 2"	11099417, 17626266	CCDS1815	Q9H221
ABHD1	abhydrolase domain containing 1		LABH1, FLJ36128		11922611	CCDS1736	Q96SE0
ABHD2	abhydrolase domain containing 2		LABH2			CCDS10348	P08910
ABHD3	abhydrolase domain containing 3		LABH3			CCDS32802, CCDS77159, CCDS77160	Q8WU67
ABHD4	abhydrolase domain containing 4		FLJ12816			CCDS9572	Q8TB40
ABHD5	abhydrolase domain containing 5		CGI-58, NCIE2		11590543, 18606822	CCDS2711	Q8WTS1
ABHD6	abhydrolase domain containing 6				22969151	CCDS2887	Q9BV23
ABHD8	abhydrolase domain containing 8		FLJ11743, MGC14280, MGC2512		12477932	CCDS12355	Q96I13
ABHD10	abhydrolase domain containing 10		FLJ11342		22294686	CCDS2963, CCDS63718	Q9NUJ1
ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226		12073013	CCDS5558, CCDS47607, CCDS47608, CCDS75615	Q8NFV4
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	WBSCR26, LINC00035	NCRNA00035	"non-protein coding RNA 35"	24984296, 25619660		
ABHD12	abhydrolase domain containing 12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A		22969151	CCDS13172, CCDS42857	Q8N2K0
ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3			CCDS9702, CCDS55916	Q7Z5M8
ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2, FLJ14906, BEM46L1			CCDS32007	Q7L211
ABHD14A	abhydrolase domain containing 14A		DKFZP564O243, DORZ1			CCDS2843	Q9BUJ0
ABHD14A-ACY1	ABHD14A-ACY1 readthrough						
ABHD14B	abhydrolase domain containing 14B		MGC15429, CIB			CCDS2842	Q96IU4
ABHD15	abhydrolase domain containing 15				12975309	CCDS32602	Q6UXT9
ABHD15-AS1	ABHD15 antisense RNA 1		linc-TP53I13, lnc-TP53I13		24504737		
ABHD16A	abhydrolase domain containing 16A	BAT5	NG26, D6S82E		2911734, 2813433	CCDS4713, CCDS54988	O95870
ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1			CCDS13539	Q9H3Z7
ABHD17A	abhydrolase domain containing 17A	C19orf27, FAM108A1	MGC5244		14702039	CCDS32867, CCDS45902	Q96GS6
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47				
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	FAM108A4, FAM108A4P					
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	FAM108A5, FAM108A5P					
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	FAM108A6, FAM108A6P			9074928		
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	FAM108A7P					
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	FAM108A8P					
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	FAM108A9P					
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	FAM108A10P					
ABHD17B	abhydrolase domain containing 17B	C9orf77, FAM108B1	CGI-67		10810093	CCDS35042, CCDS35043	Q5VST6
ABHD17C	abhydrolase domain containing 17C	FAM108C1				CCDS45323	Q6PCB6
ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106		12477932	CCDS47131	Q0P651
ABI1	abl-interactor 1	SSH3BP1	E3B1, ABI-1		9593709, 9010225	CCDS7150, CCDS31169, CCDS31170, CCDS31171, CCDS53497, CCDS53498, CCDS53499, CCDS53500, CCDS53501, CCDS73077, CCDS73078	Q8IZP0
ABI1P1	abl-interactor 1 pseudogene 1	SSH3BP1P, ABI1P					
ABI2	abl-interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2		7590236, 10964520	CCDS2358, CCDS63093, CCDS63094, CCDS74634	Q9NYB9
ABI3	ABI family, member 3		NESH, SSH3BP3		10978530, 11956071	CCDS11546, CCDS45725	Q9P2A4
ABI3BP	ABI family, member 3 (NESH) binding protein		NESHBP, DKFZP586L2024, TARSH	"target of Nesh-SH3"	11501947	CCDS46880	Q7Z7G0
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150		1857987, 12626632	CCDS35165, CCDS35166	P00519
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG	"Abelson-related gene"	3787260	CCDS30947, CCDS41441, CCDS44282, CCDS44283, CCDS41441, CCDS53435, CCDS53436, CCDS53437, CCDS53438	P42684
ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin		9245787	CCDS7590, CCDS31289, CCDS31288	O14639
ABLIM2	actin binding LIM protein family, member 2		KIAA1808			CCDS47011, CCDS47012, CCDS47013, CCDS47014, CCDS47015, CCDS47016, CCDS54719, CCDS68669	Q6H8Q1
ABLIM3	actin binding LIM protein family, member 3		KIAA0843			CCDS4294, CCDS78069, CCDS78071	O94929
ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		A3GALNT, A3GALT1		184030		P16442
ABR	active BCR-related		MDB		2587217, 7479768	CCDS10999, CCDS11000, CCDS54060, CCDS58497, CCDS73936	Q12979
ABRA	actin binding Rho activating protein		STARS	"striated muscle activator of Rho-dependent signaling"	11983702	CCDS6305	Q8N0Z2
ABRACL	ABRA C-terminal like	C6orf115	PRO2013, HSPC280, Costars		21082705	CCDS43509	Q9P1F3
ABT1	activator of basal transcription 1				10648625	CCDS4616	Q9ULW3
ABT1P1	activator of basal transcription 1 pseudogene 1						
ABTB1	ankyrin repeat and BTB (POZ) domain containing 1		BPOZ, EF1ABP, Btb3, BTBD21		10891360, 11494141	CCDS3045, CCDS46901	Q969K4
ABTB2	ankyrin repeat and BTB (POZ) domain containing 2		DKFZP586C1619, BTBD22, ABTB2A			CCDS7890, CCDS7890	Q8N961
ACAA1	acetyl-CoA acyltransferase 1			"peroxisomal 3-oxoacyl-Coenzyme A thiolase"		CCDS2673, CCDS46794	P09110
ACAA2	acetyl-CoA acyltransferase 2		DSAEC	"mitochondrial 3-oxoacyl-Coenzyme A thiolase"	8241273	CCDS11939	P42765
ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	ACC1	"acetyl-CoA carboxylase 1"		CCDS11317, CCDS11318, CCDS42302, CCDS42303	Q13085
ACACB	acetyl-CoA carboxylase beta		HACC275, ACC2, ACCB	"acetyl-CoA carboxylase 2"	8670171	CCDS31898	O00763
ACAD8	acyl-CoA dehydrogenase family, member 8				10524212	CCDS8498	Q9UKU7
ACAD9	acyl-CoA dehydrogenase family, member 9		NPD002, MGC14452		12359260, 21057504, 20816094	CCDS3053	Q9H845
ACAD10	acyl-CoA dehydrogenase family, member 10		MGC5601		15560374	CCDS31903, CCDS44973	Q6JQN1
ACAD11	acyl-CoA dehydrogenase family, member 11		FLJ12592			CCDS3074	Q709F0
ACADL	acyl-CoA dehydrogenase, long chain		LCAD, ACAD4		1774065	CCDS2389	P28330
ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain		MCAD, MCADH, ACAD1		3035565	CCDS668, CCDS44165, CCDS65562, CCDS72807	P11310
ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain		SCAD, ACAD3		2565344	CCDS9207, CCDS76610	P16219
ACADSB	acyl-CoA dehydrogenase, short/branched chain		SBCAD, ACAD7		7698750, 7759115	CCDS7634	P45954
ACADVL	acyl-CoA dehydrogenase, very long chain		VLCAD, LCACD, ACAD6		8921384	CCDS11090, CCDS42249, CCDS58509	P49748
ACAN	aggrecan	MSK16, CSPG1, AGC1	CSPGCP	"aggrecan proteoglycan"	1985970	CCDS53970, CCDS53971	P16112
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050		11050434, 11062263	CCDS11101	Q15027
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041, CNT-B2		11050434, 11062263	CCDS33924	Q15057
ACAP2-IT1	ACAP2 intronic transcript 1						
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716			CCDS19	Q96P50
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	"acetoacetyl Coenzyme A thiolase"	1979337	CCDS8339	P24752
ACAT2	acetyl-CoA acetyltransferase 2			"acetoacetyl Coenzyme A thiolase"	2475872	CCDS5268	Q9BWD1
ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	GCP60, PAP7	"PBR- and PKA-associated protein 7"	12692076, 20150326	CCDS1551	Q9H3P7
ACBD4	acyl-CoA binding domain containing 4		FLJ13322			CCDS42348, CCDS45710, CCDS45711	Q8NC06
ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417, KIAA1996		12056414	CCDS7154, CCDS44368, CCDS73079, CCDS76290	Q5T8D3
ACBD6	acyl-CoA binding domain containing 6		MGC2404		18268358	CCDS1339	Q9BR61
ACBD7	acyl-CoA binding domain containing 7		FLJ38219, bA455B2.2			CCDS31153	Q8N6N7
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)		PHACS, ACS		11470512	CCDS7907	Q96QU6
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like					CCDS41636	Q4AC99
ACD	adrenocortical dysplasia homolog (mouse)		Ptop, Pip1, Tpp1, Tint1	"TIN2 interacting protein 1", "POT1 and TIN2 organizing protein"	15231715, 15181449	CCDS10842, CCDS42181	Q96AP0
ACE	angiotensin I converting enzyme	DCP1	ACE1, CD143	"peptidyl-dipeptidase A"	2554286, 10319862	CCDS11637, CCDS45755, CCDS54155	P12821
ACE2	angiotensin I converting enzyme 2			"peptidyl-dipeptidase A"	10969042	CCDS14169	Q9BYF1
ACE3P	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene				17597519		
ACER1	alkaline ceramidase 1	ASAH3			12783875	CCDS12161	Q8TDN7
ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587		18945876	CCDS34992	Q5QJU3
ACER3	alkaline ceramidase 3	PHCA	FLJ11238, APHC	"alkaline phytoceramidase"	11356846, 18619555	CCDS8247, CCDS73352, CCDS76454	Q9NUN7
ACHE	acetylcholinesterase (Yt blood group)	YT		"Yt blood group"	1380483	CCDS5709, CCDS5710, CCDS64736	P22303
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670, fSAP152	"functional spliceosome-associated protein 152"	9734811, 10490026	CCDS9587, CCDS53887, CCDS53888, CCDS53889, CCDS55905	Q9UKV3
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	CCBP1, GPD, Dfy, CD234	"atypical chemokine receptor 1"	8248172, 7663520, 16148	CCDS1183, CCDS44252	Q16570
ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	CCR10, D6, CCR9		9364936, 9405404, 16148	CCDS2706	O00590
ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	RDC1, GPR159		16107333, 16148	CCDS2516	P25106
ACKR4	atypical chemokine receptor 4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1		10767544, 16148	CCDS3075	Q9NPB9
ACLS	acrocallosal syndrome				8723117		
ACLY	ATP citrate lyase		ATPCL, CLATP, ACL	"ATP citrate synthase"	1371749, 8088842	CCDS11412, CCDS11413	P53396
ACMSD	aminocarboxymuconate semialdehyde decarboxylase				12140278	CCDS2173, CCDS77464	Q8TDX5
ACO1	aconitase 1, soluble	IREB1	IRP1, IREBP	"aconitate hydratase, cytoplasmic"	2172968, 2771641	CCDS6525	P21399
ACO2	aconitase 2, mitochondrial		ACONM	"aconitate hydratase, mitochondrial"	10591208	CCDS14017	Q99798
ACOT1	acyl-CoA thioesterase 1		ACH2, CTE-1, LACH2		16103133, 16940157	CCDS32117	Q86TX2
ACOT2	acyl-CoA thioesterase 2		Mte1, ZAP128	"mitochondrial acyl-CoA thioesterase 1"	16103133, 16940157	CCDS9816	P49753
ACOT4	acyl-CoA thioesterase 4		FLJ31235, PTE-Ib, PTE2B		16103133, 16940157	CCDS9817	Q8N9L9
ACOT6	acyl-CoA thioesterase 6	C14orf42			16940157	CCDS32118	Q3I5F7
ACOT7	acyl-CoA thioesterase 7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	"brain acyl CoA hydrolase"	10578051, 16103133, 16940157	CCDS65, CCDS66, CCDS67, CCDS30573	O00154
ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III, hTE, PTE-2, NAP1	"choloyl-CoA hydrolase", "Nef (lentivirus myristoylated factor) associated protein 1"	10092594, 9153233, 16103133, 16940157	CCDS13378	O14734
ACOT9	acyl-CoA thioesterase 9		CGI-16, MT-ACT48, ACATE2		10383425, 10810093, 16103133, 16940157	CCDS35216, CCDS43924	Q9Y305
ACOT11	acyl-CoA thioesterase 11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	"StAR-related lipid transfer (START) domain containing 14"	11696000, 16103133, 16940157	CCDS592, CCDS593	Q8WXI4
ACOT12	acyl-CoA thioesterase 12		Cach, THEAL, STARD15	"StAR-related lipid transfer (START) domain containing 15"	16103133, 16940157	CCDS4055	Q8WYK0
