A0A024R0D3  B9EIQ5      P36800      Q5SPZ2      Q86YJ3      Q9BS69    
A0AVH0      C0H677      P40855      Q5SS29      Q89607      Q9BSU9    
A0AVH1      C0IMJ1      P40879      Q5SS36      Q89644      Q9BSV0    
A0AVH2      C0IMJ2      P40925      Q5SS43      Q89649      Q9BSV1    
A0AVH6      C0IMJ4      P40926      Q5SS78      Q89660      Q9BSV2    
A0AVI2      C0IMW4      P40933      Q5SS94      Q89681      Q9BSV3    
A0AVI4      C0IMW5      P40937      Q5SS98      Q89698      Q9BSV6    
A0AVI6      C0IMW7      P40938      Q5SSB1      Q89704      Q9BSV7    
A0AVI7      C0JAP7      P40939      Q5SSB5      Q89721      Q9BSV9    
A0AVJ5      C0JKH6      P40967      Q5SSB6      Q89730      Q9BSW0    
A0AVJ8      C0JYY4      P41002      Q5SSC5      Q89738      Q9BSW1    
A0AVJ9      C0JYY5      P41051      Q5SSC9      Q89743      Q9BSW2    
A0AVK1      C0JYY8      P41091      Q5SSD4      Q89745      Q9BSW3    
A0AVK2      C0JYY9      P41134      Q5SSG8      Q89746      Q9BSW4    
A0AVK4      C0JYZ0      P41143      Q5SSJ2      Q89753      Q9BSW6    
A0AVK6      C0KL22      P41145      Q5SSJ5      Q89756      Q9BSW7    
A0AVK7      C0KTF6      P41146      Q5SSJ6      Q89763      Q9BSW8    
A0AVL3      C0KTF7      P41159      Q5SSK1      Q89842      Q9BSW9    
A0AVL4      C0KTF8      P41161      Q5SSQ6      Q89843      Q9BSX1    
A0AVL6      C0KTF9      P41162      Q5SSR1      Q89863      Q9BSX2    
A0AVL7      C0KTG0      P41180      Q5SSR5      Q89865      Q9BSX3    
A0AVL8      C0L3L2      P41181      Q5SSS6      Q89868      Q9BSX6    
A0AVL9      C0LAB5      P41182      Q5SST3      Q89882      Q9BSX9    
A0AVM0      C0LLJ3      P41208      Q5SSW4      Q89883      Q9BSY1    
A0AVM1      C0LSZ0      P41211      Q5SSW7      Q89893      Q9BSY2    
A0AVM2      C0LTP2      P41212      Q5SSX3      Q89928      Q9BSY3    
A0AVM3      C0LTP3      P41214      Q5SSX4      Q89941      Q9BSY4    
A0AVM5      C0LTP4      P41215      Q5SSX5      Q8AYW1      Q9BSY5    
A0AVM6      C0LTP5      P41217      Q5SSX6      Q8AZ66      Q9BSY6    
A0AVM9      C0LTP7      P41218      Q5SSX7      Q8AZJ2      Q9BSY7    
A0AVN1      C0LZJ3      P41219      Q5SSY7      Q8AZJ3      Q9BSY9    
A0AVN4      C0MPP5      P41220      Q5ST11      Q8AZJ5      Q9BSZ0    
A0AVN9      C0MPQ2      P41221      Q5ST12      Q8AZJ6      Q9BSZ4    
A0AVP0      C0MPQ3      P41222      Q5ST16      Q8AZJ8      Q9BSZ5    
A0AVP2      C0MPQ5      P41223      Q5ST21      Q8AZJ9      Q9BSZ6    
A0AVP3      C0MPQ6      P41225      Q5ST25      Q8AZK7      Q9BSZ8    
A0AVP7      C0MPQ7      P41226      Q5ST26      Q8AZK9      Q9BSZ9    
A0AVP9      C0MQ34      P41227      Q5ST27      Q8AZM1      Q9BT00    
A0AVQ1      C0MQ35      P41229      Q5ST30      Q8AZM2      Q9BT01    
A0AVQ2      C0SPG8      P41231      Q5ST39      Q8B6X7      Q9BT02    
A0AVQ3      C0SPG9      P41235      Q5ST41      Q8B6X8      Q9BT03    
A0AVQ5      C1BEG3      P41236      Q5ST44      Q8B9Q8      Q9BT04    
A0AVQ7      C1K3L2      P41238      Q5ST50      Q8BB47      Q9BT05    
A0AVQ8      C1K3N2      P41240      Q5ST60      Q8C023      Q9BT06    
A0AVQ9      C1KBH8      P41247      Q5ST66      Q8HBR6      Q9BT07    
A0AVR1      C3RSF2      P41250      Q5ST72      Q8HG30      Q9BT09    
A0AVR3      C3RUL3      P41252      Q5ST74      Q8HNQ0      Q9BT10    
A0AVR7      C3RX61      P41271      Q5ST75      Q8HNQ1      Q9BT11    
A0AVR9      C3TTN4      P41273      Q5ST83      Q8HNQ4      Q9BT12    
A0AVS0      C3TTQ1      P41279      Q5ST84      Q8HNQ8      Q9BT13    
A0AVS3      C3TTQ2      P41439      Q5ST89      Q8HNQ9      Q9BT16    
A0AVS5      C4AM81      P41440      Q5ST90      Q8HNR4      Q9BT17    
A0AVS9      C4AM87      P41567      Q5ST91      Q8HNR7      Q9BT18    
A0AVT1      C4AM93      P41584      Q5ST92      Q8HNR8      Q9BT20    
A0EJG6      C4AM96      P41586      Q5ST94      Q8HWF0      Q9BT21    
A0FDN6      C4AM97      P41587      Q5ST96      Q8HWH0      Q9BT22    
A0FDN7      C4AMA1      P41594      Q5STA3      Q8HWL7      Q9BT23    
A0FGR7      C4AMA2      P41595      Q5STA5      Q8HWQ6      Q9BT24    
A0FGR8      C4AMB1      P41597      Q5STA6      Q8HWS3      Q9BT25    
A0FGR9      C4AMB9      P41732      Q5STA7      Q8HWS7      Q9BT27    
A0FIK6      C4AMC0      P41743      Q5STA8      Q8HWT5      Q9BT28    
A0FK00      C4AMC4      P41968      Q5STB4      Q8HX84      Q9BT29    
A0FKC8      C4AMC6      P41970      Q5STB5      Q8IU53      Q9BT30    
A0FKF3      C4AMC7      P42024      Q5STB7      Q8IU54      Q9BT33    
A0JBR2      C4AME4      P42025      Q5STB8      Q8IU56      Q9BT34    
A0JBX9      C4AME5      P42081      Q5STC1      Q8IU57      Q9BT35    
A0JDY6      C4B714      P42126      Q5STC4      Q8IU60      Q9BT36    
A0JLM3      C4IXS8      P42127      Q5STC7      Q8IU61      Q9BT37    
A0JLP0      C4IXS9      P42166      Q5STC9      Q8IU68      Q9BT38    
A0JLQ1      C4N787      P42167      Q5STD0      Q8IU69      Q9BT40    
A0JLQ3      C4P091      P42224      Q5STD2      Q8IU70      Q9BT41    
A0JLR9      C4P095      P42226      Q5STD6      Q8IU72      Q9BT42    
A0JLS0      C4P0A1      P42229      Q5STE0      Q8IU73      Q9BT43    
A0JLS2      C4P0A3      P42261      Q5STE9      Q8IU74      Q9BT45    
A0JLT2      C4P0B3      P42262      Q5STF3      Q8IU75      Q9BT46    
A0JLT4      C4P0B6      P42263      Q5STF4      Q8IU76      Q9BT47    
A0JLT7      C4P0C1      P42285      Q5STF5      Q8IU80      Q9BT48    
A0JLU0      C4PFH9      P42323      Q5STF8      Q8IU81      Q9BT49    
A0JLU1      C4R9J5      P42330      Q5STF9      Q8IU83      Q9BT50    
A0JLU7      C4WYH4      P42331      Q5STG2      Q8IU85      Q9BT55    
A0JLV8      C5HF20      P42336      Q5STG3      Q8IU86      Q9BT56    
A0JNS3      C5HTY7      P42338      Q5STG4      Q8IU88      Q9BT58    
A0JNS5      C5HTZ0      P42345      Q5STI1      Q8IU89      Q9BT60    
A0JNT4      C5HTZ2      P42356      Q5STJ4      Q8IU92      Q9BT62    
A0JNV1      C5HTZ5      P42357      Q5STJ5      Q8IU93      Q9BT65    
A0JNV2      C5HTZ6      P42566      Q5STJ6      Q8IU94      Q9BT67    
A0JNV6      C5HTZ7      P42568      Q5STJ8      Q8IU95      Q9BT71    
A0JNW3      C5HTZ8      P42574      Q5STK0      Q8IU96      Q9BT72    
A0JNW4      C5HU00      P42575      Q5STK5      Q8IU98      Q9BT73    
A0JNW5      C5HU02      P42576      Q5STK6      Q8IU99      Q9BT74    
A0JNZ9      C5HU03      P42655      Q5STK9      Q8IUA0      Q9BT75    
A0JP03      C5HU04      P42658      Q5STL0      Q8IUA1      Q9BT76    
A0JP04      C5HU05      P42677      Q5STL2      Q8IUA4      Q9BT77    
A0JP05      C5HU08      P42679      Q5STL4      Q8IUA5      Q9BT78    
A0JP09      C5HZ13      P42680      Q5STL8      Q8IUA6      Q9BT79    
A0JP15      C5HZ14      P42681      Q5STL9      Q8IUA7      Q9BT80    
A0JP17      C5HZ15      P42684      Q5STM0      Q8IUA8      Q9BT81    
A0JP19      C5HZ19      P42685      Q5STM1      Q8IUA9      Q9BT82    
A0JP20      C5HZ26      P42694      Q5STM2      Q8IUB2      Q9BT83    
A0JP21      C5IFA0      P42695      Q5STM5      Q8IUB3      Q9BT84    
A0JP22      C5IFJ8      P42696      Q5STN6      Q8IUB4      Q9BT85    
A0JP23      C5ILB7      P42701      Q5STP1      Q8IUB5      Q9BT88    
A0JP24      C5IZL1      P42702      Q5STP2      Q8IUB9      Q9BT89    
A0JP25      C5J0H9      P42704      Q5STP7      Q8IUC0      Q9BT92    
A0JP26      C5J4B4      P42765      Q5STP8      Q8IUC1      Q9BT95    
A0JP55      C5MQH7      P42766      Q5STQ1      Q8IUC2      Q9BT96    
A0JP63      C5NU19      P42768      Q5STQ5      Q8IUC3      Q9BT97    
A0JP64      C6ES44      P42771      Q5STQ6      Q8IUC4      Q9BT98    
A0M8Q3      C6EVR8      P42772      Q5STR3      Q8IUC6      Q9BT99    
A0M8Q4      C6G482      P42773      Q5STR7      Q8IUC7      Q9BTA0    
A0M8Q6      C6G483      P42785      Q5STU4      Q8IUC8      Q9BTA3    
A0M8W5      C6G484      P42830      Q5STU5      Q8IUC9      Q9BTA5    
A0M8W7      C6G486      P42857      Q5STU6      Q8IUD0      Q9BTA6    
A0M8X0      C6G489      P42858      Q5STU8      Q8IUD1      Q9BTA7    
A0M8X2      C6G490      P42892      Q5STV4      Q8IUD2      Q9BTA8    
A0MMZ1      C6G491      P42898      Q5STV5      Q8IUD3      Q9BTA9    
A0MNN3      C6G493      P43003      Q5STW6      Q8IUD4      Q9BTB0    
A0MNN9      C6G494      P43004      Q5STX1      Q8IUD5      Q9BTB1    
A0MNP1      C6G496      P43005      Q5STX3      Q8IUD6      Q9BTB2    
A0MNP5      C6GIJ7      P43007      Q5STX6      Q8IUD7      Q9BTB4    
A0MTT2      C6GIJ8      P43026      Q5STX7      Q8IUD8      Q9BTB5    
A0MWF2      C6GKU9      P43034      Q5SU01      Q8IUD9      Q9BTB6    
A0MZ66      C6H115      P43080      Q5SU03      Q8IUE0      Q9BTB8    
A0N0K6      C6H116      P43088      Q5SU05      Q8IUE1      Q9BTB9    
A0N0L1      C6K8I4      P43115      Q5SU07      Q8IUE2      Q9BTC0    
A0N0L2      C6K8I5      P43116      Q5SU08      Q8IUE3      Q9BTC1    
A0N0L3      C6KEF2      P43119      Q5SU09      Q8IUE4      Q9BTC4    
A0N0L4      C6KMR9      P43121      Q5SU30      Q8IUE5      Q9BTC6    
A0N0M1      C6ZEF5      P43146      Q5SU36      Q8IUE6      Q9BTC7    
A0N0M2      C6ZEF6      P43155      Q5SU41      Q8IUE7      Q9BTC8    
A0N0M4      C6ZEF7      P43166      Q5SU42      Q8IUE8      Q9BTC9    
A0N0M5      C6ZRJ8      P43220      Q5SU58      Q8IUE9      Q9BTD0    
A0N0N2      C6ZRK0      P43234      Q5SUI8      Q8IUF0      Q9BTD1    
A0N0N4      C7C4X3      P43235      Q5SUJ3      Q8IUF1      Q9BTD3    
A0N0N6      C7C5T6      P43243      Q5SUJ6      Q8IUF2      Q9BTD4    
A0N0N9      C7E541      P43246      Q5SUJ7      Q8IUF3      Q9BTD6    
A0N0P0      C7E542      P43250      Q5SUJ8      Q8IUF4      Q9BTD8    
A0N0P4      C7E543      P43251      Q5SUK1      Q8IUF5      Q9BTD9    
A0N0P9      C7ECU1      P43268      Q5SUK2      Q8IUF6      Q9BTE0    
A0N0Q5      C7ENV8      P43304      Q5SUK5      Q8IUF7      Q9BTE1    
A0N0Q6      C7F7I3      P43307      Q5SUK7      Q8IUF8      Q9BTE3    
A0N0Q9      C7F7I4      P43308      Q5SUK8      Q8IUF9      Q9BTE4    
A0N0W1      C7FDY0      P43320      Q5SUK9      Q8IUG0      Q9BTE6    
A0N0X1      C7G533      P43330      Q5SUL0      Q8IUG1      Q9BTE7    
A0N1S0      C7G534      P43331      Q5SUL1      Q8IUG2      Q9BTE8    
A0N775      C7G535      P43351      Q5SUL3      Q8IUG3      Q9BTE9    
A0N9W2      C7S7T9      P43353      Q5SUN5      Q8IUG4      Q9BTF0    
A0P8Z7      C7S7U0      P43354      Q5SUN6      Q8IUG5      Q9BTF2    
A0PFJ7      C7SDG1      P43355      Q5SUN7      Q8IUG6      Q9BTF5    
A0PG75      C7SQM3      P43356      Q5SUN9      Q8IUG7      Q9BTF7    
A0PG76      C7SQM4      P43357      Q5SUX4      Q8IUG8      Q9BTF8    
A0PGH1      C7SQM5      P43358      Q5SV17      Q8IUG9      Q9BTF9    
A0PJ43      C7T5V5      P43359      Q5SV23      Q8IUH0      Q9BTG0    
A0PJ45      C8C9T5      P43360      Q5SV94      Q8IUH1      Q9BTG1    
A0PJ53      C8CAP4      P43361      Q5SV96      Q8IUH2      Q9BTG5    
A0PJ60      C8CBA8      P43362      Q5SV97      Q8IUH3      Q9BTG9    
A0PJ78      C8KIL8      P43363      Q5SV98      Q8IUH4      Q9BTH0    
A0PJ84      C8KIL9      P43364      Q5SV99      Q8IUH5      Q9BTH1    
A0PJ88      C8KIM0      P43365      Q5SVA0      Q8IUH8      Q9BTH4    
A0PJ94      C8UZT3      P43366      Q5SVA1      Q8IUH9      Q9BTH5    
A0PJ95      C8UZT4      P43378      Q5SVA2      Q8IUI0      Q9BTH9    
A0PJA1      C8ZL52      P43403      Q5SVA3      Q8IUI1      Q9BTI1    
A0PJA2      C8ZLJ8      P43405      Q5SVA4      Q8IUI3      Q9BTI2    
A0PJA3      C8ZLJ9      P43487      Q5SVA5      Q8IUI4      Q9BTI3    
A0PJA4      C9DQJ5      P43489      Q5SVF0      Q8IUI5      Q9BTI4    
A0PJB7      C9DQJ6      P43490      Q5SVH1      Q8IUI6      Q9BTI5    
A0PJD2      C9DQJ7      P43626      Q5SVH2      Q8IUI7      Q9BTI7    
A0PJE2      C9DRQ3      P43627      Q5SVH3      Q8IUI8      Q9BTI8    
A0PJE3      C9EHF2      P43628      Q5SVH7      Q8IUJ2      Q9BTJ1    
A0PJE5      C9EI59      P43629      Q5SVJ3      Q8IUJ3      Q9BTJ4    
A0PJF3      C9IY41      P43630      Q5SVJ4      Q8IUJ4      Q9BTJ5    
A0PJG8      C9IY91      P43631      Q5SVL0      Q8IUJ6      Q9BTJ6    
A0PJH1      C9IYA0      P43632      Q5SVL3      Q8IUJ7      Q9BTJ9    
A0PJH3      C9IYB3      P43652      Q5SVM5      Q8IUJ8      Q9BTK2    
A0PJH6      C9IYG0      P43657      Q5SVM8      Q8IUJ9      Q9BTK3    
A0PJI4      C9IYG7      P43681      Q5SVM9      Q8IUK0      Q9BTK5    
A0PJI5      C9IYJ3      P43686      Q5SVN5      Q8IUK1      Q9BTK6    
A0PJK1      C9IYT7      P43694      Q5SVN6      Q8IUK2      Q9BTK7    
A0PJK2      C9IYV7      P43699      Q5SVQ8      Q8IUK3      Q9BTK8    
